clock,pid,state,cpu_done,cpu_total,io_done,io_total
55,8,WAITING,4,46,27,94
55,9,WAITING,4,56,23,152
55,10,WAITING,4,56,19,142
56,1,WAITING,4,43,52,154
56,2,WAITING,4,21,48,93
56,3,WAITING,2,57,46,64
56,4,WAITING,4,85,42,65
56,5,WAITING,2,39,40,77
56,6,WAITING,4,50,36,180
56,7,WAITING,4,56,32,104
56,8,WAITING,4,46,28,94
56,9,WAITING,4,56,24,152
56,10,WAITING,4,56,20,142
57,1,WAITING,4,43,53,154
57,2,WAITING,4,21,49,93
57,3,WAITING,2,57,47,64
57,4,WAITING,4,85,43,65
57,5,WAITING,2,39,41,77
57,6,WAITING,4,50,37,180
57,7,WAITING,4,56,33,104
57,8,WAITING,4,46,29,94
57,9,WAITING,4,56,25,152
57,10,WAITING,4,56,21,142
58,1,WAITING,4,43,54,154
58,2,WAITING,4,21,50,93
58,3,WAITING,2,57,48,64
58,4,WAITING,4,85,44,65
58,5,WAITING,2,39,42,77
58,6,WAITING,4,50,38,180
58,7,WAITING,4,56,34,104
58,8,WAITING,4,46,30,94
58,9,WAITING,4,56,26,152
58,10,WAITING,4,56,22,142
59,1,WAITING,4,43,55,154
59,2,WAITING,4,21,51,93
59,3,WAITING,2,57,49,64
59,4,WAITING,4,85,45,65
59,5,WAITING,2,39,43,77
59,6,WAITING,4,50,39,180
59,7,WAITING,4,56,35,104
59,8,WAITING,4,46,31,94
59,9,WAITING,4,56,27,152
59,10,WAITING,4,56,23,142
60,1,WAITING,4,43,56,154
60,2,WAITING,4,21,52,93
60,3,WAITING,2,57,50,64
60,4,WAITING,4,85,46,65
60,5,WAITING,2,39,44,77
60,6,WAITING,4,50,40,180
60,7,WAITING,4,56,36,104
60,8,WAITING,4,46,32,94
60,9,WAITING,4,56,28,152
60,10,WAITING,4,56,24,142
61,1,WAITING,4,43,57,154
61,2,WAITING,4,21,53,93
61,3,WAITING,2,57,51,64
61,4,WAITING,4,85,47,65
61,5,WAITING,2,39,45,77
61,6,WAITING,4,50,41,180
61,7,WAITING,4,56,37,104
61,8,WAITING,4,46,33,94
61,9,WAITING,4,56,29,152
61,10,WAITING,4,56,25,142
62,1,WAITING,4,43,58,154
62,2,WAITING,4,21,54,93
62,3,WAITING,2,57,52,64
62,4,WAITING,4,85,48,65
62,5,WAITING,2,39,46,77
62,6,WAITING,4,50,42,180
62,7,WAITING,4,56,38,104
62,8,WAITING,4,46,34,94
62,9,WAITING,4,56,30,152
62,10,WAITING,4,56,26,142
63,1,WAITING,4,43,59,154
63,2,WAITING,4,21,55,93
63,3,WAITING,2,57,53,64
63,4,WAITING,4,85,49,65
63,5,WAITING,2,39,47,77
63,6,WAITING,4,50,43,180
63,7,WAITING,4,56,39,104
63,8,WAITING,4,46,35,94
63,9,WAITING,4,56,31,152
63,10,WAITING,4,56,27,142
64,1,WAITING,4,43,60,154
64,2,WAITING,4,21,56,93
64,3,WAITING,2,57,54,64
64,4,WAITING,4,85,50,65
64,5,WAITING,2,39,48,77
64,6,WAITING,4,50,44,180
64,7,WAITING,4,56,40,104
64,8,WAITING,4,46,36,94
64,9,WAITING,4,56,32,152
64,10,WAITING,4,56,28,142
65,1,WAITING,4,43,61,154
65,2,WAITING,4,21,57,93
65,3,WAITING,2,57,55,64
65,4,WAITING,4,85,51,65
65,5,WAITING,2,39,49,77
65,6,WAITING,4,50,45,180
65,7,WAITING,4,56,41,104
65,8,WAITING,4,46,37,94
65,9,WAITING,4,56,33,152
65,10,WAITING,4,56,29,142
66,1,WAITING,4,43,62,154
66,2,WAITING,4,21,58,93
66,3,WAITING,2,57,56,64
66,4,WAITING,4,85,52,65
66,5,WAITING,2,39,50,77
66,6,WAITING,4,50,46,180
66,7,WAITING,4,56,42,104
66,8,WAITING,4,46,38,94
66,9,WAITING,4,56,34,152
66,10,WAITING,4,56,30,142
67,1,WAITING,4,43,63,154
67,2,WAITING,4,21,59,93
67,3,WAITING,2,57,57,64
67,4,WAITING,4,85,53,65
67,5,WAITING,2,39,51,77
67,6,WAITING,4,50,47,180
67,7,WAITING,4,56,43,104
67,8,WAITING,4,46,39,94
67,9,WAITING,4,56,35,152
67,10,WAITING,4,56,31,142
68,1,WAITING,4,43,64,154
68,2,WAITING,4,21,60,93
68,3,WAITING,2,57,58,64
68,4,WAITING,4,85,54,65
68,5,WAITING,2,39,52,77
68,6,WAITING,4,50,48,180
68,7,WAITING,4,56,44,104
68,8,WAITING,4,46,40,94
68,9,WAITING,4,56,36,152
68,10,WAITING,4,56,32,142
69,1,WAITING,4,43,65,154
69,2,WAITING,4,21,61,93
69,3,WAITING,2,57,59,64
69,4,WAITING,4,85,55,65
69,5,WAITING,2,39,53,77
69,6,WAITING,4,50,49,180
69,7,WAITING,4,56,45,104
69,8,WAITING,4,46,41,94
69,9,WAITING,4,56,37,152
69,10,WAITING,4,56,33,142
70,1,WAITING,4,43,66,154
70,2,WAITING,4,21,62,93
70,3,WAITING,2,57,60,64
70,4,WAITING,4,85,56,65
70,5,WAITING,2,39,54,77
70,6,WAITING,4,50,50,180
70,7,WAITING,4,56,46,104
70,8,WAITING,4,46,42,94
